MTV点歌100,#genre#
XL特大号乐团-黯然销魂,http://em.21dtv.com/songs/60009414.mkv
张克帆-爱人无罪,http://em.21dtv.com/songs/60008588.mkv
佚名-爱人危险,http://em.21dtv.com/songs/60008587.mkv
陈琳-爱人危险,http://em.21dtv.com/songs/60008586.mkv
罗大佑-爱人同志,http://em.21dtv.com/songs/60008585.mkv
罗大佑-爱人同志(演唱会),http://em.21dtv.com/songs/60008584.mkv
枫桥-爱如昙花,http://em.21dtv.com/songs/60128131.mkv
金奕萱-爱若童话,http://em.21dtv.com/songs/60086429.mkv
魏然-爱若童话,http://em.21dtv.com/songs/60074471.mkv
邱芸子-爱人探戈,http://em.21dtv.com/songs/60123223.mkv
邱芸子-爱人探戈,http://em.21dtv.com/songs/60109653.mkv
刘若英-爱人说话,http://em.21dtv.com/songs/60008583.mkv
罗欣-爱人是灯(无原唱),http://em.21dtv.com/songs/60095865.mkv
王瑞霞-爱人是灯(无原唱),http://em.21dtv.com/songs/60070807.mkv
王铮亮-爱 燃烧,http://em.21dtv.com/songs/60114696.mkv
王力-爱让人累,http://em.21dtv.com/songs/60008520.mkv
徐誉滕-爱若去了,http://em.21dtv.com/songs/60008617.mkv
白龙传说+燕儿-爱人情歌,http://em.21dtv.com/songs/60111323.mkv
冷漠-爱如情歌,http://em.21dtv.com/songs/60099787.mkv
王昊-爱人情歌,http://em.21dtv.com/songs/60008577.mkv
邓丽君+谭咏麟-爱人女神,http://em.21dtv.com/songs/60008576.mkv
谢安琪-爱人女神(演唱会),http://em.21dtv.com/songs/60008575.mkv
Ellie Goulding-Army,http://em.21dtv.com/songs/60118254.mkv
李俊熙-爱人路人,http://em.21dtv.com/songs/60065806.mkv
高翊菲-爱如莲花,http://em.21dtv.com/songs/60126455.mkv
熊胡杰-矮人看戏,http://em.21dtv.com/songs/60069168.mkv
孙俪-爱如空气,http://em.21dtv.com/songs/60008610.mkv
孙俪-爱如空气(演唱会),http://em.21dtv.com/songs/60008609.mkv
多吉+索拉旺姆-啊若康巴,http://em.21dtv.com/songs/60093765.mkv
邓小龙-爱人好累,http://em.21dtv.com/songs/60108029.mkv
中坚份子-爱人好累,http://em.21dtv.com/songs/60008567.mkv
