MTV点歌100,#genre#
刘德华-爱人皇后(演唱会),http://em.21dtv.com/songs/60008568.mkv
小辣椒-爱人感谢(无原唱),http://em.21dtv.com/songs/60008561.mkv
罗志祥-爱入非非,http://em.21dtv.com/songs/60082523.mkv
秦影-爱人的心,http://em.21dtv.com/songs/60100348.mkv
苏有朋-爱人的心,http://em.21dtv.com/songs/60091932.mkv
沈芳如-爱人的心,http://em.21dtv.com/songs/60008556.mkv
许茹芸-爱人动物,http://em.21dtv.com/songs/60008560.mkv
苏打绿-爱人动物,http://em.21dtv.com/songs/60008559.mkv
詹曼铃-爱阮的人,http://em.21dtv.com/songs/60086428.mkv
洪百慧-爱阮的歌,http://em.21dtv.com/songs/60135503.mkv
胡艾莲-爱如潮涌,http://em.21dtv.com/songs/60112903.mkv
燕尾蝶-爱人草原,http://em.21dtv.com/songs/60063911.mkv
莫龙丹-爱如潮水,http://em.21dtv.com/songs/60097380.mkv
胡彦斌-爱如潮水,http://em.21dtv.com/songs/60094256.mkv
袁媛-爱如潮水(演唱会),http://em.21dtv.com/songs/60063318.mkv
张信哲-爱如潮水,http://em.21dtv.com/songs/60008607.mkv
刘德华-爱如潮水,http://em.21dtv.com/songs/60008606.mkv
高胜美-爱如潮水,http://em.21dtv.com/songs/60008605.mkv
蔡淳佳-爱如潮水,http://em.21dtv.com/songs/60008604.mkv
张学友-爱如潮水(演唱会),http://em.21dtv.com/songs/60008603.mkv
迪克牛仔-爱如潮水(演唱会),http://em.21dtv.com/songs/60008602.mkv
陈晓+陈妍希-爱如初见,http://em.21dtv.com/songs/60114863.mkv
赵新-爱若春风,http://em.21dtv.com/songs/60124519.mkv
刘洺瑒-爱若不在,http://em.21dtv.com/songs/60126652.mkv
孙露-爱人别走,http://em.21dtv.com/songs/60099939.mkv
金南玲-爱人别走,http://em.21dtv.com/songs/60069201.mkv
丁汀-爱人别走,http://em.21dtv.com/songs/60008550.mkv
金久哲-爱如匕首,http://em.21dtv.com/songs/60084845.mkv
紫龙-爱人不哭,http://em.21dtv.com/songs/60008551.mkv
苏小花-爱人爱人,http://em.21dtv.com/songs/60074466.mkv
程响-爱人爱情,http://em.21dtv.com/songs/60130635.mkv
李明洋-爱情真言,http://em.21dtv.com/songs/60132547.mkv
陈文清-爱情主演,http://em.21dtv.com/songs/60131944.mkv
莫露露-爱情主演,http://em.21dtv.com/songs/60082521.mkv
陈黎明-爱情左右,http://em.21dtv.com/songs/60008512.mkv
陈奕迅-爱情转移,http://em.21dtv.com/songs/60008502.mkv
萧亚轩-爱情专用,http://em.21dtv.com/songs/60008499.mkv
陈司翰-爱情主义,http://em.21dtv.com/songs/60008498.mkv
林凡-爱情骤雨,http://em.21dtv.com/songs/60008497.mkv
南宫苡彤-爱情侦探,http://em.21dtv.com/songs/60103956.mkv
赵真-爱情诊所,http://em.21dtv.com/songs/60066823.mkv
孙燕姿-爱情证书,http://em.21dtv.com/songs/60008493.mkv
陈司翰-爱情最强,http://em.21dtv.com/songs/60008511.mkv
温拿乐队-爱情组曲,http://em.21dtv.com/songs/60008510.mkv
甄妮-爱情长跑,http://em.21dtv.com/songs/60091753.mkv
谢采云-爱情长跑,http://em.21dtv.com/songs/60089476.mkv
佳悦-爱情指南,http://em.21dtv.com/songs/60065803.mkv
贺一航-爱情之门,http://em.21dtv.com/songs/60122131.mkv
井恩然-爱情专卖,http://em.21dtv.com/songs/60106592.mkv
珍妮+欧恒-爱情证明,http://em.21dtv.com/songs/60097401.mkv
蔡妍-爱情真经(演唱会),http://em.21dtv.com/songs/60008491.mkv
陈雷-爱情再会,http://em.21dtv.com/songs/60088915.mkv
伊人佳人组合-安琪之歌,http://em.21dtv.com/songs/60068088.mkv
花美男株式会社-爱情赞歌,http://em.21dtv.com/songs/60008481.mkv
王绎龙-爱情终点,http://em.21dtv.com/songs/60088311.mkv
孙燕姿-爱情字典,http://em.21dtv.com/songs/60008504.mkv
石梅-爱情重点,http://em.21dtv.com/songs/60008496.mkv
辛龙-爱情追兵,http://em.21dtv.com/songs/60080307.mkv
陈法拉-爱情转驳,http://em.21dtv.com/songs/60008500.mkv
马剑芬+宋马超-爱情预约,http://em.21dtv.com/songs/60086427.mkv
周子轩-爱情1+1,http://em.21dtv.com/songs/60063885.mkv
苏暮+夏凌兮-爱情游戏,http://em.21dtv.com/songs/60129540.mkv
大哲-爱情游戏,http://em.21dtv.com/songs/60084842.mkv
扬哲-爱情英雄,http://em.21dtv.com/songs/60070490.mkv
蔡晓-爱情游戏,http://em.21dtv.com/songs/60066820.mkv
毛阿敏-爱情游戏,http://em.21dtv.com/songs/60008467.mkv
伯阳-爱情游戏,http://em.21dtv.com/songs/60008466.mkv
扬扬-爱情游戏(无原唱),http://em.21dtv.com/songs/60008465.mkv
张信哲-爱情余味,http://em.21dtv.com/songs/60008472.mkv
辛晓琪-爱情余味,http://em.21dtv.com/songs/60008471.mkv
龙世杰+罗凯莹-爱情元素,http://em.21dtv.com/songs/60115554.mkv
孙歆亚-爱情余数,http://em.21dtv.com/songs/60070491.mkv
张智霖-爱情已死(演唱会),http://em.21dtv.com/songs/60063908.mkv
庾澄庆-爱情御守(演唱会),http://em.21dtv.com/songs/60008479.mkv
张智霖-爱情已死,http://em.21dtv.com/songs/60008460.mkv
袁惟仁-爱情遗书(无原唱),http://em.21dtv.com/songs/60008459.mkv
玉面天使-爱情疫苗,http://em.21dtv.com/songs/60108698.mkv
孙更俊-爱情妖魔,http://em.21dtv.com/songs/60070489.mkv
黄小琥-爱情原来,http://em.21dtv.com/songs/60117413.mkv
唐嫣-爱情引力,http://em.21dtv.com/songs/60099893.mkv
山风-爱情烟火,http://em.21dtv.com/songs/60127932.mkv
冰川-爱情烟火,http://em.21dtv.com/songs/60105622.mkv
六仔-爱情诱惑,http://em.21dtv.com/songs/60074463.mkv
李行亮-爱情约定,http://em.21dtv.com/songs/60097399.mkv
陈百潭-爱钱有道,http://em.21dtv.com/songs/60008074.mkv
赵真-爱情小镇,http://em.21dtv.com/songs/60063907.mkv
刘航-爱情下载,http://em.21dtv.com/songs/60008421.mkv
卢广仲-爱情习作,http://em.21dtv.com/songs/60008418.mkv
王奕心-爱情信仰,http://em.21dtv.com/songs/60113853.mkv
李致贤+申钰林-爱情宣言,http://em.21dtv.com/songs/60104223.mkv
周杰伦-爱情悬崖,http://em.21dtv.com/songs/60008445.mkv
齐秦-爱情宣言,http://em.21dtv.com/songs/60008444.mkv
刘超华-爱情香烟,http://em.21dtv.com/songs/60008432.mkv
郭静-爱情讯息,http://em.21dtv.com/songs/60008449.mkv
张芸京-爱情选项,http://em.21dtv.com/songs/60008447.mkv
孙兴-爱情漩涡,http://em.21dtv.com/songs/60008446.mkv
汤潮-爱情小偷,http://em.21dtv.com/songs/60008437.mkv
爱东-爱情心锁,http://em.21dtv.com/songs/60074460.mkv
冷酷-爱情心锁,http://em.21dtv.com/songs/60071735.mkv
宋熙铭-爱情小说,http://em.21dtv.com/songs/60063906.mkv
林奕匡-爱情小品,http://em.21dtv.com/songs/60128123.mkv
林奕匡-爱情小品,http://em.21dtv.com/songs/60124125.mkv
薛之谦-爱情宣判,http://em.21dtv.com/songs/60008443.mkv
焦作风景+蒋婴-爱情小路,http://em.21dtv.com/songs/60132698.mkv
蒋婴+焦作风景-爱情小路,http://em.21dtv.com/songs/60131782.mkv
陈思安-爱情小路,http://em.21dtv.com/songs/60129739.mkv
辉仔-爱情陷阱,http://em.21dtv.com/songs/60120001.mkv
日京江羽人-爱情喜剧,http://em.21dtv.com/songs/60119605.mkv
谭咏麟-爱情陷阱,http://em.21dtv.com/songs/60008429.mkv
谭咏麟-爱情陷阱(演唱会),http://em.21dtv.com/songs/60008428.mkv
谭咏麟+李克勤-爱情陷阱(演唱会),http://em.21dtv.com/songs/60008427.mkv
黄耀明+刘以达-爱情陷阱(演唱会),http://em.21dtv.com/songs/60008426.mkv
陈晓东-爱情陷阱(演唱会),http://em.21dtv.com/songs/60008425.mkv
苏小龙-爱情邂逅,http://em.21dtv.com/songs/60100946.mkv
棒棒堂-爱情学测,http://em.21dtv.com/songs/60008448.mkv
杨子一-爱情网站,http://em.21dtv.com/songs/60063904.mkv
李勇-爱情网语,http://em.21dtv.com/songs/60084841.mkv
侃侃-爱情物语,http://em.21dtv.com/songs/60082520.mkv
李翊君-爱情无用,http://em.21dtv.com/songs/60008417.mkv
徐申东-爱情危险,http://em.21dtv.com/songs/60082024.mkv
张秀卿-爱情问题,http://em.21dtv.com/songs/60008415.mkv
钟立风-爱情万岁,http://em.21dtv.com/songs/60131912.mkv
宁桓宇-爱情往事,http://em.21dtv.com/songs/60127907.mkv
魏如萱-爱情万岁,http://em.21dtv.com/songs/60114289.mkv
玫瑰神话-爱情万岁(HD),http://em.21dtv.com/songs/10012804.mkv
玫瑰神话-爱情万岁,http://em.21dtv.com/songs/60096414.mkv
尹子-爱情往事,http://em.21dtv.com/songs/60074458.mkv
吕雯+格杨+胡雯+赵多娜-爱情万岁,http://em.21dtv.com/songs/60074457.mkv
姜淮海-爱情万岁,http://em.21dtv.com/songs/60065801.mkv
薛凯琪+森美-爱情万岁,http://em.21dtv.com/songs/60008412.mkv
五月天-爱情万岁,http://em.21dtv.com/songs/60008411.mkv
五月天-爱情万岁(演唱会),http://em.21dtv.com/songs/60008410.mkv
吴宏彬-爱情玩偶,http://em.21dtv.com/songs/60107574.mkv
杜德伟+文佩玲-爱全为你,http://em.21dtv.com/songs/60092819.mkv
佚名-爱全为你,http://em.21dtv.com/songs/60008517.mkv
梦然-爱情雾霾,http://em.21dtv.com/songs/60128144.mkv
张正扬-爱情味道,http://em.21dtv.com/songs/60115156.mkv
龚淑均-爱情围城,http://em.21dtv.com/songs/60074459.mkv
陈泳泼-爱情舞步,http://em.21dtv.com/songs/60117345.mkv
PARK HANA-爱情停止,http://em.21dtv.com/songs/60074456.mkv
张宇-爱情条约,http://em.21dtv.com/songs/60008405.mkv
张涵雅-爱情汤味,http://em.21dtv.com/songs/60125523.mkv
唐古+贺一航-爱情天堂,http://em.21dtv.com/songs/60131278.mkv
曾雨轩+韩智东-爱情天堂,http://em.21dtv.com/songs/60130390.mkv
曾雨轩-爱情天堂,http://em.21dtv.com/songs/60130389.mkv
罗逻圣-爱情天梯,http://em.21dtv.com/songs/60129487.mkv
曾雨轩+韩智东-爱情天堂,http://em.21dtv.com/songs/60125658.mkv
晓晓-爱情天梯,http://em.21dtv.com/songs/60082518.mkv
宇恒-爱情天气,http://em.21dtv.com/songs/60008403.mkv
183CLUB-爱情特卖,http://em.21dtv.com/songs/60008401.mkv
马旭东-爱情太假,http://em.21dtv.com/songs/60104603.mkv
TWINS-爱情突击,http://em.21dtv.com/songs/60008408.mkv
白冰冰-爱情探戈,http://em.21dtv.com/songs/60095820.mkv
安心亚+SUPER131-爱情天敌,http://em.21dtv.com/songs/60074455.mkv
安心亚-爱情天敌,http://em.21dtv.com/songs/60071731.mkv
羽泉-爱情天窗,http://em.21dtv.com/songs/60091875.mkv
王建杰-爱情守则(无原唱),http://em.21dtv.com/songs/60079656.mkv
伍思凯-爱情缩影,http://em.21dtv.com/songs/60008399.mkv
郑伊健-爱情岁月,http://em.21dtv.com/songs/60008398.mkv
黄迎迎-爱情散文,http://em.21dtv.com/songs/60082515.mkv
李宗盛-爱情少尉,http://em.21dtv.com/songs/60008377.mkv
杨新旭-爱情沙滩,http://em.21dtv.com/songs/60116944.mkv
胡夏-爱情生态,http://em.21dtv.com/songs/60111360.mkv
汪佩蓉-爱情杀手,http://em.21dtv.com/songs/60131597.mkv
刘嘉亮-爱情杀手,http://em.21dtv.com/songs/60070487.mkv
韦嘉-爱情杀手,http://em.21dtv.com/songs/60008369.mkv
崎君-爱情杀手,http://em.21dtv.com/songs/60008368.mkv
王杰-爱情杀手(演唱会),http://em.21dtv.com/songs/60008367.mkv
李东-爱情诗篇,http://em.21dtv.com/songs/60119643.mkv
香香-爱情砂砾,http://em.21dtv.com/songs/60123372.mkv
大厨-爱情沙漏,http://em.21dtv.com/songs/60121535.mkv
崔琰-爱情水晶,http://em.21dtv.com/songs/60063827.mkv
刘雁-爱情四季,http://em.21dtv.com/songs/60008396.mkv
刘尊-爱情四季(演唱会),http://em.21dtv.com/songs/60008395.mkv
飘飘-爱情深海,http://em.21dtv.com/songs/60129795.mkv
乌兰托娅+何军-爱情神话,http://em.21dtv.com/songs/60099722.mkv
卓依婷-爱情神话,http://em.21dtv.com/songs/60087480.mkv
孟杨-爱情神话,http://em.21dtv.com/songs/60062763.mkv
西风-爱情傻瓜,http://em.21dtv.com/songs/60118902.mkv
李艾娜-爱情傻瓜,http://em.21dtv.com/songs/60112765.mkv
宇桐非-爱情傻瓜,http://em.21dtv.com/songs/60008374.mkv
黄征-爱情傻瓜,http://em.21dtv.com/songs/60008373.mkv
苏晴-爱情市场,http://em.21dtv.com/songs/60082517.mkv
张可儿-爱情伤悲,http://em.21dtv.com/songs/60066816.mkv
曾春年-爱情伤兵,http://em.21dtv.com/songs/60008376.mkv
佚名-爱情人生(无原唱),http://em.21dtv.com/songs/60008359.mkv
赵本水-爱情如梦,http://em.21dtv.com/songs/60065800.mkv
刘恺威-爱情软件,http://em.21dtv.com/songs/60092364.mkv
于烈-爱情日记,http://em.21dtv.com/songs/60060999.mkv
周祥-爱情圈套,http://em.21dtv.com/songs/60126725.mkv
马云龙-爱情囚徒,http://em.21dtv.com/songs/60088977.mkv
周祥-爱情圈套(舞曲版),http://em.21dtv.com/songs/60066815.mkv
周祥-爱情圈套,http://em.21dtv.com/songs/60063465.mkv
SUPER GIRLS-爱情潜水,http://em.21dtv.com/songs/60069198.mkv
妞妞姐妹-爱情恰恰,http://em.21dtv.com/songs/60095498.mkv
蓝沁-啊777,http://em.21dtv.com/songs/60088589.mkv
佚名-爱情恰恰,http://em.21dtv.com/songs/60008353.mkv
陈小云-爱情恰恰,http://em.21dtv.com/songs/60008352.mkv
蓝沁-啊七七七,http://em.21dtv.com/songs/60006862.mkv
MARC ANTHONY-a quien quiero mentirle,http://em.21dtv.com/songs/60072861.mkv
南台湾小姑娘-爱情切啦,http://em.21dtv.com/songs/60008354.mkv
恩炀-爱情气候,http://em.21dtv.com/songs/60008351.mkv
校园快乐帮+卓义峰-爱情乞丐,http://em.21dtv.com/songs/60091504.mkv
卓义峰-爱情乞丐,http://em.21dtv.com/songs/60087447.mkv
牛朝阳-爱情乞丐,http://em.21dtv.com/songs/60008350.mkv
于寇华-爱情囚犯,http://em.21dtv.com/songs/60008356.mkv
赵紫轩-爱情骗子,http://em.21dtv.com/songs/60066813.mkv
红月-爱情骗子,http://em.21dtv.com/songs/60065798.mkv
丁酉酉-爱情骗子,http://em.21dtv.com/songs/60063903.mkv
陈明-爱情扑捉,http://em.21dtv.com/songs/60008348.mkv
阿温-爱情泡汤,http://em.21dtv.com/songs/60124604.mkv
阿温-爱情泡汤,http://em.21dtv.com/songs/60086425.mkv
覃飞宇-爱情叛徒,http://em.21dtv.com/songs/60081153.mkv
龙奔-爱情泡沫(演唱会),http://em.21dtv.com/songs/60008342.mkv
熊汝霖-爱情疲劳,http://em.21dtv.com/songs/60008344.mkv
许富凯-爱情啤酒,http://em.21dtv.com/songs/60070484.mkv
容祖儿-爱情苹果,http://em.21dtv.com/songs/60008347.mkv
阿勇-爱情配方,http://em.21dtv.com/songs/60062205.mkv
于立成-爱情片段,http://em.21dtv.com/songs/60008345.mkv
木棉-爱情泥沼,http://em.21dtv.com/songs/60008330.mkv
高原-爱情难题,http://em.21dtv.com/songs/60088990.mkv
郭美美-爱情女神,http://em.21dtv.com/songs/60008341.mkv
游鸿明-爱情男女,http://em.21dtv.com/songs/60008329.mkv
可风-爱情奴隶,http://em.21dtv.com/songs/60008338.mkv
李小璐-爱情魔咒,http://em.21dtv.com/songs/60008323.mkv
白婧-爱情秘语,http://em.21dtv.com/songs/60097403.mkv
西子-爱情模样,http://em.21dtv.com/songs/60074451.mkv
于立成-爱情模样,http://em.21dtv.com/songs/60008318.mkv
5566-爱情漫游,http://em.21dtv.com/songs/60008309.mkv
常艾非-爱情迷雾,http://em.21dtv.com/songs/60068059.mkv
洪立-爱情木屋,http://em.21dtv.com/songs/60008326.mkv
李菲菲-爱情迷雾,http://em.21dtv.com/songs/60008315.mkv
叶颖-爱情门徒,http://em.21dtv.com/songs/60074450.mkv
郑源-爱情码头,http://em.21dtv.com/songs/60008307.mkv
周乔伟-爱情末日,http://em.21dtv.com/songs/60074452.mkv
轲然-爱情木偶,http://em.21dtv.com/songs/60095099.mkv
费玉清-爱情买卖,http://em.21dtv.com/songs/60130765.mkv
清清儿-爱情密码,http://em.21dtv.com/songs/60128181.mkv
慕容晓晓-爱情买卖,http://em.21dtv.com/songs/60008308.mkv
叶玉卿-爱情魔力,http://em.21dtv.com/songs/60008321.mkv
丁力-爱情魔力(无原唱),http://em.21dtv.com/songs/60008320.mkv
冷漠-爱情麻将,http://em.21dtv.com/songs/60065797.mkv
徐小鹏-爱情玫瑰,http://em.21dtv.com/songs/60080786.mkv
1983-爱情木瓜,http://em.21dtv.com/songs/60008325.mkv
李维-爱情魔法(无原唱),http://em.21dtv.com/songs/60008319.mkv
ALEJANDRO SANZ-aquello que me diste(演唱会),http://em.21dtv.com/songs/60063531.mkv
谢峥-爱情面包,http://em.21dtv.com/songs/60130756.mkv
白冰冰-爱情曼波,http://em.21dtv.com/songs/60095821.mkv
何超仪-爱情灵药,http://em.21dtv.com/songs/60063901.mkv
王羽泽-爱情礼物,http://em.21dtv.com/songs/60125944.mkv
S.I.N.G女团-爱情猎手,http://em.21dtv.com/songs/60124984.mkv
陈茂丰-爱情路上,http://em.21dtv.com/songs/60111499.mkv
许富凯-爱情露水,http://em.21dtv.com/songs/60104423.mkv
林忆莲-爱情恋曲,http://em.21dtv.com/songs/60091455.mkv
琼雯-爱情流年(无原唱),http://em.21dtv.com/songs/60008300.mkv
吕梓铷-爱情落幕,http://em.21dtv.com/songs/60118437.mkv
谭扬+李姝漫-爱情落幕,http://em.21dtv.com/songs/60068058.mkv
门丽-爱情流量,http://em.21dtv.com/songs/60134370.mkv
桂莹莹-爱情来了,http://em.21dtv.com/songs/60132637.mkv
魏宗武-爱情老了,http://em.21dtv.com/songs/60110716.mkv
李晓-爱情来临,http://em.21dtv.com/songs/60097400.mkv
张信哲-爱情力量,http://em.21dtv.com/songs/60091046.mkv
叶明珠-爱情来了,http://em.21dtv.com/songs/60084834.mkv
MAKIYO-爱情来哩,http://em.21dtv.com/songs/60008295.mkv
陈慧琳-爱情来了,http://em.21dtv.com/songs/60008294.mkv
陈慧琳-爱情来了(演唱会),http://em.21dtv.com/songs/60008293.mkv
许慧欣-爱情轮廓,http://em.21dtv.com/songs/60008304.mkv
孙宝奇-爱情烈酒,http://em.21dtv.com/songs/60060997.mkv
孙宝奇-爱情烈酒(舞曲版),http://em.21dtv.com/songs/60060996.mkv
蔡小虎-爱情炉丹,http://em.21dtv.com/songs/60008302.mkv
邹伟龙-爱情旅程,http://em.21dtv.com/songs/60070483.mkv
张韶涵-爱情旅程,http://em.21dtv.com/songs/60008305.mkv
张冬玲-爱情空调,http://em.21dtv.com/songs/60097402.mkv
许慧欣-爱情抗体,http://em.21dtv.com/songs/60008285.mkv
许慧欣-爱情抗体(演唱会),http://em.21dtv.com/songs/60008284.mkv
蔡忆雯-爱情傀儡,http://em.21dtv.com/songs/60105341.mkv
宋飞-爱情傀儡,http://em.21dtv.com/songs/60103213.mkv
金丹-爱情傀儡,http://em.21dtv.com/songs/60101536.mkv
靳海涛-爱情傀儡,http://em.21dtv.com/songs/60099605.mkv
巫启贤-爱情傀儡,http://em.21dtv.com/songs/60008291.mkv
易欣-爱情哭了,http://em.21dtv.com/songs/60008288.mkv
沈世爱-爱情苦酒,http://em.21dtv.com/songs/60116997.mkv
月光星子-爱情苦酒,http://em.21dtv.com/songs/60008289.mkv
陈依依-爱情考卷,http://em.21dtv.com/songs/60008286.mkv
储毅-爱情口号,http://em.21dtv.com/songs/60108315.mkv
覃飞宇-爱情苦海,http://em.21dtv.com/songs/60084833.mkv
林雨-爱情苦果,http://em.21dtv.com/songs/60063898.mkv
游美灵-爱情快餐,http://em.21dtv.com/songs/60082510.mkv
吴婷-爱情教主,http://em.21dtv.com/songs/60070481.mkv
婧-爱情剧终,http://em.21dtv.com/songs/60008280.mkv
安以轩-爱情剧终,http://em.21dtv.com/songs/60008279.mkv
张琳+王娜-爱情结缘,http://em.21dtv.com/songs/60135227.mkv
郑劲松-爱情寄寓,http://em.21dtv.com/songs/60108045.mkv
杨建-爱情解药,http://em.21dtv.com/songs/60070482.mkv
阿松-爱情寄寓,http://em.21dtv.com/songs/60008265.mkv
王新莲-安全界线,http://em.21dtv.com/songs/60090084.mkv
王心凌-爱情句型,http://em.21dtv.com/songs/60071727.mkv
孙浩雨-爱情枷锁,http://em.21dtv.com/songs/60087662.mkv
易秀明珠-爱情救赎,http://em.21dtv.com/songs/60063896.mkv
GOGO+MEME-爱情假期,http://em.21dtv.com/songs/60008268.mkv
唐尧麟-爱情胶片,http://em.21dtv.com/songs/60008270.mkv
许慧欣-爱情精灵,http://em.21dtv.com/songs/60092058.mkv
芭比-爱情结局,http://em.21dtv.com/songs/60008271.mkv
周敬-爱情剧本,http://em.21dtv.com/songs/60065795.mkv
张强-爱情谎言,http://em.21dtv.com/songs/60086420.mkv
魏新雨-爱情火焰(演唱会),http://em.21dtv.com/songs/60071726.mkv
高林生+石云岚-爱情花园,http://em.21dtv.com/songs/60062227.mkv
刘惜君-爱情花园,http://em.21dtv.com/songs/60008258.mkv
于冠华-爱情合约(无原唱),http://em.21dtv.com/songs/60008241.mkv
蒋大为-啊秋海棠,http://em.21dtv.com/songs/60006863.mkv
阿文-爱情火苗,http://em.21dtv.com/songs/60110603.mkv
王爱华+韩风-爱情花开,http://em.21dtv.com/songs/60066810.mkv
刘依纯-爱情花开,http://em.21dtv.com/songs/60008257.mkv
HIT-5-爱情换季,http://em.21dtv.com/songs/60086419.mkv
蓝正龙-爱情黑洞,http://em.21dtv.com/songs/60008247.mkv
芭比-爱情黑洞,http://em.21dtv.com/songs/60008246.mkv
张津涤-爱情观众,http://em.21dtv.com/songs/60119532.mkv
李小米-爱情规则,http://em.21dtv.com/songs/60102335.mkv
山野-爱情公寓,http://em.21dtv.com/songs/60104986.mkv
群星-爱情公寓,http://em.21dtv.com/songs/60068056.mkv
黄崇旭-爱情关系,http://em.21dtv.com/songs/60008234.mkv
袁智勇-爱情怪胎,http://em.21dtv.com/songs/60008233.mkv
李力-爱情故事,http://em.21dtv.com/songs/60089948.mkv
储毅-爱情故事,http://em.21dtv.com/songs/60086418.mkv
孙豆尔-爱情故事,http://em.21dtv.com/songs/60084829.mkv
郑秀文-爱情故事,http://em.21dtv.com/songs/60008232.mkv
佚名-爱情故事,http://em.21dtv.com/songs/60008231.mkv
辛晓琪-爱情故事,http://em.21dtv.com/songs/60008230.mkv
林子祥-爱情故事,http://em.21dtv.com/songs/60008229.mkv
林子良-爱情故事,http://em.21dtv.com/songs/60008228.mkv
方季惟-爱情故事,http://em.21dtv.com/songs/60008227.mkv
办桌阿杰+苏路-爱情故事,http://em.21dtv.com/songs/60008226.mkv
施易男-爱情高手,http://em.21dtv.com/songs/60008223.mkv
钟子炫-爱情过客,http://em.21dtv.com/songs/60111464.mkv
赵齐-爱情过客,http://em.21dtv.com/songs/60094706.mkv
海生-爱情过客,http://em.21dtv.com/songs/60074442.mkv
凌毅-爱情港口,http://em.21dtv.com/songs/60063893.mkv
雨天-爱情孤岛,http://em.21dtv.com/songs/60074441.mkv
刘轩瑞-爱情浮云,http://em.21dtv.com/songs/60095267.mkv
储毅-爱情废墟,http://em.21dtv.com/songs/60108316.mkv
秦艺天-爱情飞雪,http://em.21dtv.com/songs/60101150.mkv
虎妞-爱情废墟,http://em.21dtv.com/songs/60070479.mkv
容祖儿-爱情复兴,http://em.21dtv.com/songs/60008220.mkv
正月十五-爱情防卫,http://em.21dtv.com/songs/60097398.mkv
王雪娥-爱情俘虏,http://em.21dtv.com/songs/60008219.mkv
孙悦-爱情俘虏,http://em.21dtv.com/songs/60008218.mkv
韩磊-爱情飞蛾,http://em.21dtv.com/songs/60008215.mkv
侯志斌-爱情废柴,http://em.21dtv.com/songs/60125139.mkv
周杰伦-爱情废柴,http://em.21dtv.com/songs/60123761.mkv
杨一郎-爱情赌注,http://em.21dtv.com/songs/60118696.mkv
郭燕-爱情冬至,http://em.21dtv.com/songs/60008206.mkv
爱嗑瓜子的猫+进击的女帝-爱情电影,http://em.21dtv.com/songs/60128198.mkv
范冰冰+李晨-爱情电影,http://em.21dtv.com/songs/60118872.mkv
曹锦-爱情毒药,http://em.21dtv.com/songs/60117779.mkv
周兴哲-爱情导演,http://em.21dtv.com/songs/60112573.mkv
刘涛-爱情毒药,http://em.21dtv.com/songs/60074440.mkv
许茹芸+熊天平-爱情电影,http://em.21dtv.com/songs/60008203.mkv
满江-爱情电影(演唱会),http://em.21dtv.com/songs/60008202.mkv
林姗-爱情的夜(无原唱),http://em.21dtv.com/songs/60008193.mkv
郭淑贤-爱情点心(无原唱),http://em.21dtv.com/songs/60008200.mkv
陈淑芳-爱情的舞,http://em.21dtv.com/songs/60008188.mkv
秋裤大叔-爱情的托,http://em.21dtv.com/songs/60108769.mkv
赵小兵-爱情的托,http://em.21dtv.com/songs/60070477.mkv
办桌二人组-爱情的甜,http://em.21dtv.com/songs/60070476.mkv
杨幂-爱情地图,http://em.21dtv.com/songs/60066807.mkv
