影视列表,#genre#
NHK World - Japan,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941610&extension=ts
TVBJ1,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153395&extension=ts
TVB1,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153396&extension=ts
TVBE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153398&extension=ts
TVB XING HE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153506&extension=ts
TVB CHINESE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153401&extension=ts
TVB CLASSIC,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153503&extension=ts
TVB E NEWS,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153504&extension=ts
TVB PEARL,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153399&extension=ts
TVB DRAMA,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153400&extension=ts
TVB JADE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=153505&extension=ts
FAIRCHILD EAST,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=90350&extension=ts
FAIRCHILD WEST,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=90351&extension=ts
FAIRCHILD 2,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=90352&extension=ts
astro 爱奇艺,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571198&extension=ts
astro 全佳,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571192&extension=ts
astro 双星,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571191&extension=ts
astro 小太阳,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571230&extension=ts
astro AOD 351,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571226&extension=ts
astro AOD 352,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571225&extension=ts
astro AOD 353,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571229&extension=ts
TVB 翡翠台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571187&extension=ts
TVB 星河频道,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571186&extension=ts
TVB 经典台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571197&extension=ts
